,portfolio_value,daily_return,daily_turnover
2022-02-09,114615.55224,-0.029126,
2022-02-10,116099.575567,0.012948,
2022-02-11,120125.46825,0.034676,
2022-02-14,119640.93824,-0.004034,
2022-02-15,116184.402094,-0.028891,
2022-02-16,116916.671838,0.006303,
2022-02-17,120015.436715,0.026504,
2022-02-18,120067.236964,0.000432,
2022-02-22,121764.340803,0.014135,
2022-02-23,123199.751824,0.011788,
2022-02-24,118894.067359,-0.034949,
2022-02-25,117659.149138,-0.010387,
2022-02-28,116037.02293,-0.013787,
2022-03-01,116680.10263,0.005542,
2022-03-02,115683.43144,-0.008542,
2022-03-03,117695.322931,0.017391,
2022-03-04,119439.704775,0.014821,
2022-03-07,125378.190029,0.04972,
2022-03-08,124777.635541,-0.00479,
2022-03-09,119191.642284,-0.044768,
2022-03-10,120028.242556,0.007019,
2022-03-11,122727.037999,0.022485,
2022-03-14,124327.646492,0.013042,
2022-03-15,119436.44792,-0.039341,
2022-03-16,114177.168596,-0.044034,
2022-03-17,112493.726839,-0.014744,
2022-03-18,109347.284038,-0.02797,
2022-03-21,109098.110112,-0.002279,
2022-03-22,109773.113974,0.006187,
2022-03-23,109009.180536,-0.006959,
2022-03-24,111637.923045,0.024115,
2022-03-25,111657.943424,0.000179,
2022-03-28,114639.940974,0.026707,
2022-03-29,115560.946086,0.008034,
2022-03-30,114502.988708,-0.009155,
2022-03-31,112857.320766,-0.014372,
2022-04-01,112959.313166,0.000904,
2022-04-04,116391.07946,0.030381,
2022-04-05,112847.972139,-0.030441,
2022-04-06,108748.449417,-0.036328,
2022-04-07,108639.007981,-0.001006,
2022-04-08,106587.751163,-0.018881,
2022-04-11,102934.077938,-0.034279,
2022-04-12,102904.193973,-0.00029,
2022-04-13,104813.055403,0.01855,
2022-04-14,103288.641216,-0.014544,
2022-04-18,103372.092662,0.000808,
2022-04-19,102649.59062,-0.006989,
2022-04-20,103255.694593,0.005905,
2022-04-21,105682.161199,0.0235,
2022-04-22,107904.557174,0.021029,
2022-04-25,106176.285233,-0.016017,
2022-04-26,110376.807701,0.039562,
2022-04-27,111693.542485,0.011929,
2022-04-28,105452.707511,-0.055875,
2022-04-29,110401.61103,0.04693,
2022-05-02,107284.634924,-0.028233,
2022-05-03,106824.094509,-0.004293,
2022-05-04,103417.991764,-0.031885,
2022-05-05,109605.290688,0.059828,
2022-05-06,110683.785291,0.00984,
2022-05-09,115812.52547,0.046337,
2022-05-10,114346.62486,-0.012658,
2022-05-11,119019.145292,0.040863,
2022-05-12,119551.414128,0.004472,
2022-05-13,113582.447659,-0.049928,
2022-05-16,116094.075293,0.022113,
2022-05-17,111830.111131,-0.036729,
2022-05-18,118196.784067,0.056932,
2022-05-19,118558.78598,0.003063,
2022-05-20,120514.589517,0.016496,
2022-05-23,118246.262354,-0.018822,
2022-05-24,121958.000325,0.03139,
2022-05-25,119324.700984,-0.021592,
2022-05-26,114757.103234,-0.038279,
2022-05-27,110683.241089,-0.0355,
2022-05-31,109524.360959,-0.01047,
2022-06-01,110140.336292,0.005624,
2022-06-02,107348.808916,-0.025345,
2022-06-03,111934.58376,0.042718,
2022-06-06,110717.938468,-0.010869,
2022-06-07,110970.076716,0.002277,
2022-06-08,110235.617169,-0.006619,
2022-06-09,107892.3601,-0.021257,
2022-06-10,105568.133558,-0.021542,
2022-06-13,101632.141146,-0.037284,
2022-06-14,101421.530002,-0.002072,
2022-06-15,97819.558697,-0.035515,
2022-06-16,101515.425109,0.037782,
2022-06-17,99924.026589,-0.015676,
2022-06-21,97721.080193,-0.022046,
2022-06-22,98424.888117,0.007202,
2022-06-23,97323.343949,-0.011192,
2022-06-24,93677.349317,-0.037463,
2022-06-27,92902.134108,-0.008275,
2022-06-28,90610.45195,-0.024668,
2022-06-29,90781.534103,0.001888,
2022-06-30,92571.366214,0.019716,
2022-07-01,92431.696421,-0.001509,
2022-07-05,90579.507644,-0.020038,
2022-07-06,90167.693764,-0.004546,
2022-07-07,87481.438664,-0.029792,
2022-07-08,87561.404998,0.000914,
2022-07-11,89458.943191,0.021671,
2022-07-12,89871.794917,0.004615,
2022-07-13,89533.932513,-0.003759,
2022-07-14,90602.762461,0.011938,
2022-07-15,90721.149142,0.001307,
2022-07-18,89597.81807,-0.012382,
2022-07-19,89365.878058,-0.002589,
2022-07-20,90771.389793,0.015728,
2022-07-21,93276.309313,0.027596,
2022-07-22,91324.964847,-0.02092,
2022-07-25,90213.581833,-0.01217,
2022-07-26,87785.026092,-0.02692,
2022-07-27,87849.200622,0.000731,
2022-07-28,88137.372708,0.00328,
2022-07-29,91827.323892,0.041866,
2022-08-01,91779.737392,-0.000518,
2022-08-02,91657.897215,-0.001328,
2022-08-03,93631.949431,0.021537,
2022-08-04,94000.355333,0.003935,
2022-08-05,91923.896095,-0.02209,
2022-08-08,90597.704706,-0.014427,
2022-08-09,89240.597915,-0.014979,
2022-08-10,92464.143301,0.036122,
2022-08-11,91617.071189,-0.009161,
2022-08-12,94067.596275,0.026747,
2022-08-15,94593.58143,0.005592,
2022-08-16,94355.427478,-0.002518,
2022-08-17,93336.290585,-0.010801,
2022-08-18,93478.303869,0.001522,
2022-08-19,91781.473009,-0.018152,
2022-08-22,89866.250508,-0.020867,
2022-08-23,90537.081829,0.007465,
2022-08-24,90572.102401,0.000387,
2022-08-25,91765.714195,0.013179,
2022-08-26,90290.037667,-0.016081,
2022-08-29,89770.318277,-0.005756,
2022-08-30,90449.090767,0.007561,
2022-08-31,91345.516277,0.009911,
2022-09-01,92987.339771,0.017974,
2022-09-02,94600.79405,0.017351,
2022-09-06,95128.955626,0.005583,
2022-09-07,93304.297608,-0.019181,
